prompt,type,word,log_ratio,gpt_freq,nyt_freq
B,underused,approved,-3.979525636403914,0,20
B,underused,editor,-3.930735472234482,0,19
B,underused,epidemic,-3.930735472234482,0,19
B,underused,britain,-3.85277393076477,1,36
D,overused,china's,4.8376579722176825,297,0
D,overused,navigate,4.053219371448329,135,0
D,overused,implications,3.968878223014579,374,2
D,overused,spokesperson,3.7356843358468677,98,0
D,overused,raises,3.704912677180114,95,0
D,overused,underscores,3.510012338179299,78,0
D,overused,complexities,3.4712978259986085,75,0
D,overused,addressing,3.374670990309537,68,0
D,overused,commitment,3.337766433374086,132,1
D,overused,observers,3.3149517556079147,64,0
D,overused,repercussions,3.2836992121038104,62,0
D,overused,moreover,3.2349090479343783,59,0
D,overused,alarms,3.2181019296179967,58,0
D,overused,argue,3.2124361920823197,175,2
D,overused,wake,3.1836157535468277,56,0
D,overused,ongoing,3.174805123864673,225,3
D,overused,government's,3.1659161764474266,55,0
D,overused,dynamics,3.1659161764474266,55,0
D,overused,tiktok's,3.1478976709447486,54,0
D,overused,expression,3.129548532276552,53,0
D,underused,advertisement,-5.915681319636031,0,156
D,underused,biggest,-4.666098004058042,0,44
D,underused,reporter,-4.643625148205984,0,43
D,underused,keith,-4.293422718772868,0,30
D,underused,bradsher,-4.260632895949878,0,29
D,underused,covers,-4.226731344274197,0,28
D,underused,correspondent,-4.209339601562327,1,56
D,underused,palau,-4.191640024462926,0,27
D,underused,supported,-4.1675424728838655,2,81
D,underused,dealbook,-4.155272380292051,0,26
D,underused,saying,-3.950477967646038,0,21
D,underused,phone,-3.8551677878417134,0,19
D,underused,village,-3.8551677878417134,0,19
D,underused,tried,-3.749807272183887,0,17
D,underused,ivory,-3.6926488583439383,0,16
D,underused,reason,-3.6926488583439383,0,16
D,underused,huge,-3.6926488583439383,0,16
D,underused,vivian,-3.6320242365275037,0,15
D,underused,wanted,-3.567485715389932,0,14
D,underused,spring,-3.567485715389932,0,14
E,overused,china's,4.942726158834325,316,0
E,overused,implications,4.297818192040453,498,2
E,overused,navigate,4.2336803922065815,155,0
E,overused,raises,4.051358835412627,129,0
E,overused,moreover,3.88430475074946,109,0
E,overused,dynamics,3.7377012765575848,94,0
E,overused,underscores,3.7056129620060845,91,0
E,overused,strategies,3.5905436322212974,163,1
E,overused,governance,3.4179308895543037,137,1
E,overused,complexities,3.3582116548526812,64,0
E,overused,government's,3.342707468316716,63,0
E,overused,spokesperson,3.342707468316716,63,0
E,overused,commitment,3.3109587700021357,123,1
E,overused,repercussions,3.3109587700021357,61,0
E,overused,landscape,3.2974267637835593,366,5
E,overused,navigates,3.2613618288627637,58,0
E,overused,complicate,3.2442673955034635,57,0
E,overused,ripple,3.2268756527915943,56,0
E,overused,regarding,3.2268756527915943,113,1
E,overused,addressing,3.209176075692193,55,0
E,underused,advertisement,-5.872421420391264,0,156
E,underused,correspondent,-4.859226882877506,0,56
E,underused,reporter,-4.600365248961217,0,43
E,underused,britain,-4.42709352768718,0,36
E,underused,told,-4.342536139659117,0,33
E,underused,keith,-4.250162819528102,0,30
E,underused,bradsher,-4.2173729967051115,0,29
E,underused,ago,-4.18347144502943,0,28
E,underused,joined,-4.14838012521816,0,27
E,underused,supported,-4.1242825736391,2,81
E,underused,dealbook,-4.112012481047285,0,26
E,underused,comment,-4.074272153064438,0,25
E,underused,give,-3.9942294453909017,0,23
E,underused,spokesman,-3.9942294453909017,0,23
E,underused,why,-3.9072180684012716,0,21
E,underused,saying,-3.9072180684012716,0,21
E,underused,approved,-3.860698052766379,0,20
E,underused,declined,-3.860698052766379,0,20
E,underused,village,-3.811907888596947,0,19
E,underused,editor,-3.811907888596947,0,19
